Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
64449970,03/24/2025 07:22:55 PM,03/25/2025 04:37:04 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10025,137 WEST  108 STREET,WEST  108 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,03/25/2025 12:00:00 AM,07 MANHATTAN,1018637501,MANHATTAN,994446,231135,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80108226257091,-73.96317277601133,"(40.80108226257091, -73.96317277601133)"
64445908,03/24/2025 07:20:00 PM,03/25/2025 02:50:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),,10016,437 5 AVENUE,5 AVENUE,E 38 ST,E 39 ST,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint and installed caps and chains.,03/25/2025 02:50:00 AM,05 MANHATTAN,1008680072,MANHATTAN,989134,213042,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7514262705611,-73.98237249066914,"(40.7514262705611, -73.98237249066914)"
64449728,03/24/2025 07:17:00 PM,03/25/2025 02:35:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),,10016,433 5 AVENUE,5 AVENUE,E 38 ST,E 39 ST,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint and installed caps and chains.,03/25/2025 02:35:00 AM,05 MANHATTAN,1008680075,MANHATTAN,989113,213003,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.75131923699894,-73.98244831283,"(40.75131923699894, -73.98244831283)"
64451208,03/24/2025 07:15:07 PM,03/25/2025 11:13:04 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11210,2501 NOSTRAND AVENUE,NOSTRAND AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,HPD responded to a complaint of no heat or hot water in the building. An occupant of the building confirmed heat and hot water had been restored when the Inspector attempted to conduct the inspection or contacted you at the phone number associated with the complaint. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,03/25/2025 12:00:00 AM,18 BROOKLYN,3076300027,BROOKLYN,999171,166449,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62352798084708,-73.94624978072031,"(40.62352798084708, -73.94624978072031)"
64452217,03/24/2025 07:13:41 PM,03/24/2025 08:36:48 PM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10016,332 EAST   30 STREET,EAST   30 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST   30 STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,03/24/2025 08:36:51 PM,06 MANHATTAN,1009350043,MANHATTAN,990775,209512,MOBILE,Unspecified,MANHATTAN,Car,,,,,,,40.7417362482243,-73.97645315918186,"(40.7417362482243, -73.97645315918186)"
64446529,03/24/2025 07:12:08 PM,03/25/2025 08:27:35 PM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11210,2401 NOSTRAND AVENUE,NOSTRAND AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w",03/25/2025 12:00:00 AM,18 BROOKLYN,3076120034,BROOKLYN,999041,167345,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.625987530643464,-73.94671611888555,"(40.625987530643464, -73.94671611888555)"
64446434,03/24/2025 07:12:08 PM,03/25/2025 08:27:35 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11210,2401 NOSTRAND AVENUE,NOSTRAND AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,03/25/2025 12:00:00 AM,18 BROOKLYN,3076120034,BROOKLYN,999041,167345,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.625987530643464,-73.94671611888555,"(40.625987530643464, -73.94671611888555)"
64448093,03/24/2025 07:12:00 PM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,,10027,301 WEST  123 STREET,WEST  123 STREET,FREDERICK DOUGLASS BOULEVARD,ST NICHOLAS AVENUE,FREDERICK DOUGLASS BOULEVARD,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  123 STREET,,In Progress,,"The Taxi and Limousine Commission has issued a notice to the driver, asking the driver to plead guilty to an appropriate charge. If a hearing is needed, you will be notified by mail or email of your hearing date.",04/01/2025 02:00:24 PM,10 MANHATTAN,1019500029,MANHATTAN,997468,233994,MOBILE,Unspecified,MANHATTAN,,,"301 WEST  123 STREET, MANHATTAN (NEW YORK), NY, 10027",,,,,40.808925425536,-73.95225190086087,"(40.808925425536, -73.95225190086087)"
64451947,03/24/2025 07:11:00 PM,03/25/2025 09:20:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10025,,,,,BROADWAY,WEST 105 STREET,INTERSECTION,MANHATTAN,,,Closed,,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",03/25/2025 09:20:00 AM,07 MANHATTAN,,MANHATTAN,993117,230925,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80050730364372,-73.96797330597805,"(40.80050730364372, -73.96797330597805)"
64448590,03/24/2025 07:07:31 PM,03/24/2025 11:11:25 PM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11210,1155 EAST   35 STREET,EAST   35 STREET,AVENUE J,AVENUE K,AVENUE J,AVENUE K,ADDRESS,BROOKLYN,EAST   35 STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,03/24/2025 11:11:28 PM,18 BROOKLYN,3076170017,BROOKLYN,1000381,167347,PHONE,Unspecified,BROOKLYN,Car,,,,,,,40.625990681603746,-73.94188882855283,"(40.625990681603746, -73.94188882855283)"
64451080,03/24/2025 07:05:19 PM,03/24/2025 11:16:55 PM,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10025,400 RIVERSIDE DRIVE,RIVERSIDE DRIVE,WEST  112 STREET,WEST  113 STREET,WEST  112 STREET,WEST  113 STREET,ADDRESS,NEW YORK,RIVERSIDE DRIVE,,Closed,,NYC Parks couldn't respond to your complaint because they had to devote resources to other critical services at the time. The agency will use your complaint for future planning.,03/24/2025 11:16:59 PM,09 MANHATTAN,1018950001,MANHATTAN,993304,233048,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.806334165733126,-73.96729501831304,"(40.806334165733126, -73.96729501831304)"
64452688,03/24/2025 07:04:56 PM,03/24/2025 10:56:32 PM,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11210,2501 NOSTRAND AVENUE,NOSTRAND AVENUE,AVENUE K,AVENUE L,AVENUE K,AVENUE L,ADDRESS,BROOKLYN,NOSTRAND AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/24/2025 10:56:35 PM,18 BROOKLYN,3076300027,BROOKLYN,999171,166449,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62352798084708,-73.94624978072031,"(40.62352798084708, -73.94624978072031)"
64448754,03/24/2025 07:04:38 PM,03/24/2025 07:35:02 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10025,MANHATTAN AVENUE,MANHATTAN AVENUE,MANHATTAN AVENUE,WEST  103 STREET,MANHATTAN AVENUE,WEST  103 STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03/24/2025 07:35:07 PM,07 MANHATTAN,,MANHATTAN,994526,229546,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.79672079841084,-73.96288625344367,"(40.79672079841084, -73.96288625344367)"
64448441,03/24/2025 07:02:00 PM,03/24/2025 08:00:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,10016,417 5 AVENUE,5 AVENUE,E 37 ST,E 38 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",03/24/2025 08:00:00 PM,05 MANHATTAN,1008670070,MANHATTAN,988986,212774,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.75069075881583,-73.98290684635259,"(40.75069075881583, -73.98290684635259)"
64446046,03/24/2025 07:00:18 PM,03/24/2025 08:00:30 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10027,144 WEST  131 STREET,WEST  131 STREET,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,ADDRESS,NEW YORK,WEST  131 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/24/2025 08:00:37 PM,10 MANHATTAN,1019150053,MANHATTAN,999742,235156,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.812111097409755,-73.94403472746421,"(40.812111097409755, -73.94403472746421)"
64448949,03/24/2025 06:57:12 PM,03/26/2025 09:33:20 AM,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10025,225 WEST  109 STREET,WEST  109 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,03/26/2025 12:00:00 AM,07 MANHATTAN,1018810019,MANHATTAN,993813,231786,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80286978687309,-73.96545819936648,"(40.80286978687309, -73.96545819936648)"
64451583,03/24/2025 06:57:12 PM,03/25/2025 10:20:40 PM,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10025,225 WEST  109 STREET,WEST  109 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w",03/25/2025 12:00:00 AM,07 MANHATTAN,1018810019,MANHATTAN,993813,231786,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80286978687309,-73.96545819936648,"(40.80286978687309, -73.96545819936648)"
64452170,03/24/2025 06:53:00 PM,03/24/2025 08:55:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),,10016,200 MADISON AVENUE,MADISON AVENUE,E 35 ST,E 36 ST,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection investigated this complaint and installed caps and chains.,03/24/2025 08:55:00 PM,05 MANHATTAN,1008650014,MANHATTAN,989123,211986,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.748527823129244,-73.98241295747745,"(40.748527823129244, -73.98241295747745)"
64449429,03/24/2025 06:48:44 PM,03/24/2025 07:10:25 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10027,CLAREMONT AVENUE,CLAREMONT AVENUE,CLAREMONT AVENUE,WEST  122 STREET,CLAREMONT AVENUE,WEST  122 STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,03/24/2025 07:10:28 PM,09 MANHATTAN,,MANHATTAN,994740,235205,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.812252944138024,-73.96210450952093,"(40.812252944138024, -73.96210450952093)"
64449467,03/24/2025 06:41:30 PM,03/24/2025 07:09:30 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10027,WEST  122 STREET,WEST  122 STREET,CLAREMONT AVENUE,WEST  122 STREET,CLAREMONT AVENUE,WEST  122 STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,03/24/2025 07:09:32 PM,09 MANHATTAN,,MANHATTAN,994740,235205,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.812252944138024,-73.96210450952093,"(40.812252944138024, -73.96210450952093)"
64454190,03/24/2025 06:36:17 PM,03/25/2025 10:26:57 AM,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10016,379 5 AVENUE,5 AVENUE,EAST   35 STREET,EAST   36 STREET,EAST   35 STREET,EAST   36 STREET,ADDRESS,NEW YORK,5 AVENUE,,Closed,,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,03/25/2025 10:27:01 AM,05 MANHATTAN,1008650004,MANHATTAN,988721,212295,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.749376162666955,-73.98386360181357,"(40.749376162666955, -73.98386360181357)"
64447888,03/24/2025 06:32:58 PM,03/24/2025 07:04:54 PM,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11210,1441 EAST   22 STREET,EAST   22 STREET,AVENUE M,AVENUE N,AVENUE M,AVENUE N,ADDRESS,BROOKLYN,EAST   22 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/24/2025 07:04:56 PM,14 BROOKLYN,3076580012,BROOKLYN,997373,164067,PHONE,Unspecified,BROOKLYN,Other,,,,,,,40.61699273361189,-73.95273138131778,"(40.61699273361189, -73.95273138131778)"
64453361,03/24/2025 06:32:00 PM,03/25/2025 07:41:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,10025,57 DUKE ELLINGTON BOULEVARD,DUKE ELLINGTON BOULEVARD,MANHATTAN AVE,COLUMBUS AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection researched this complaint and determined that it could be closed.,03/25/2025 07:41:00 PM,07 MANHATTAN,1018420010,MANHATTAN,994779,230330,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.79887236704784,-73.96197126621917,"(40.79887236704784, -73.96197126621917)"
64450973,03/24/2025 06:31:49 PM,03/24/2025 07:50:17 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11210,1329 EAST   22 STREET,EAST   22 STREET,AVENUE L,AVENUE M,AVENUE L,AVENUE M,ADDRESS,BROOKLYN,EAST   22 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/24/2025 07:50:22 PM,14 BROOKLYN,3076400020,BROOKLYN,997233,165042,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.61966911198218,-73.95323378172762,"(40.61966911198218, -73.95323378172762)"
64464483,03/24/2025 06:29:00 PM,03/25/2025 08:15:00 AM,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11210,1381 FLATBUSH AVENUE,FLATBUSH AVENUE,EAST 26 STREET,EAST 26 STREET,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,03/25/2025 12:00:00 PM,14 BROOKLYN,3052270001,BROOKLYN,997531,171384,PHONE,Unspecified,BROOKLYN,,,,,,,,40.637076122082185,-73.95214787318862,"(40.637076122082185, -73.95214787318862)"
64454165,03/24/2025 06:27:13 PM,03/24/2025 07:43:04 PM,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,10016,401 5 AVENUE,5 AVENUE,EAST   36 STREET,EAST   37 STREET,EAST   36 STREET,EAST   37 STREET,ADDRESS,NEW YORK,5 AVENUE,,Closed,,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,03/24/2025 07:43:06 PM,05 MANHATTAN,1008660076,MANHATTAN,988861,212549,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.750073256698414,-73.9833581501564,"(40.750073256698414, -73.9833581501564)"
64451706,03/24/2025 06:27:13 PM,,DHS,Department of Homeless Services,Encampment,N/A,Street/Sidewalk,10016,401 5 AVENUE,5 AVENUE,EAST   36 STREET,EAST   37 STREET,EAST   36 STREET,EAST   37 STREET,ADDRESS,NEW YORK,5 AVENUE,,In Progress,,,,05 MANHATTAN,1008660076,MANHATTAN,988861,212549,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.750073256698414,-73.9833581501564,"(40.750073256698414, -73.9833581501564)"
64445677,03/24/2025 06:23:52 PM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10016,64 PARK AVENUE,PARK AVENUE,EAST   37 STREET,EAST   38 STREET,EAST   37 STREET,EAST   38 STREET,ADDRESS,NEW YORK,PARK AVENUE,,In Progress,,,,06 MANHATTAN,1008670042,MANHATTAN,989897,212326,ONLINE,Unspecified,MANHATTAN,,,"64 PARK AVENUE, MANHATTAN (NEW YORK), NY, 10016",,,,,40.749460577049746,-73.9796192448377,"(40.749460577049746, -73.9796192448377)"
64451471,03/24/2025 06:21:30 PM,03/25/2025 02:44:36 PM,TLC,Taxi and Limousine Commission,Lost Property,Bag/Wallet,Taxi,10016,5 AVENUE,5 AVENUE,5 AVENUE,EAST   34 STREET,5 AVENUE,EAST   34 STREET,INTERSECTION,,,,Closed,,See notes for information.,03/25/2025 02:44:38 PM,05 MANHATTAN,,MANHATTAN,988528,211953,PHONE,Unspecified,MANHATTAN,,,"5 AVENUE AND EAST   34 STREET, MANHATTAN, NY, 10016",,,,,40.748437554305184,-73.98456038049486,"(40.748437554305184, -73.98456038049486)"
64448848,03/24/2025 06:13:13 PM,03/27/2025 09:59:59 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10027,343 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",03/27/2025 12:00:00 AM,09 MANHATTAN,1019540050,MANHATTAN,997710,235169,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.81215010837938,-73.95137535519541,"(40.81215010837938, -73.95137535519541)"
64448101,03/24/2025 06:09:33 PM,03/25/2025 04:08:19 AM,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11210,3806 AVENUE J,AVENUE J,EAST   38 STREET,EAST   39 STREET,EAST   38 STREET,EAST   39 STREET,ADDRESS,BROOKLYN,AVENUE J,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,03/25/2025 04:08:22 AM,18 BROOKLYN,3077860033,BROOKLYN,1001134,167883,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62746048551696,-73.939174841423,"(40.62746048551696, -73.939174841423)"
64449576,03/24/2025 05:53:00 PM,,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11210,1621 BROOKLYN AVENUE,BROOKLYN AVENUE,GLENWOOD RD,AVENUE H,,,ADDRESS,BROOKLYN,,,Started,,The Department of Environmental Protection has inspected your complaint and determined that further investigation is required. More information will be available once the condition is resolved. Please visit nyc.gov/311 or call 311 at a later time to check the status of your complaint.,03/25/2025 02:30:00 AM,17 BROOKLYN,3075640029,BROOKLYN,1000376,170059,PHONE,Unspecified,BROOKLYN,,,,,,,,40.633434556888204,-73.94190036087264,"(40.633434556888204, -73.94190036087264)"
64454310,03/24/2025 05:41:00 PM,03/27/2025 12:20:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,10025,51 DUKE ELLINGTON BOULEVARD,DUKE ELLINGTON BOULEVARD,MANHATTAN AVE,COLUMBUS AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection researched this complaint and determined that it could be closed.,03/27/2025 12:20:00 PM,07 MANHATTAN,1018420013,MANHATTAN,994806,230315,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.79883116392633,-73.96187377097692,"(40.79883116392633, -73.96187377097692)"
64450757,03/24/2025 05:38:00 PM,03/24/2025 07:10:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10025,924 WEST END AVENUE,WEST END AVENUE,BROADWAY,WEST END AVE,,,ADDRESS,NEW YORK,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,03/24/2025 07:10:00 PM,07 MANHATTAN,1018770001,MANHATTAN,992884,231093,PHONE,Unspecified,MANHATTAN,,,,,,,,40.8009686484327,-73.96881466196893,"(40.8009686484327, -73.96881466196893)"
64452928,03/24/2025 05:36:12 PM,03/26/2025 05:00:55 PM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Pet/Animal,Other (Explain Below),10016,63 MADISON AVENUE,MADISON AVENUE,EAST   27 STREET,EAST   28 STREET,EAST   27 STREET,EAST   28 STREET,ADDRESS,NEW YORK,MADISON AVENUE,,Closed,,The NYC Health Department has responded to your service request.  Restaurant inspection information can be found online at www.nyc.gov/health/abceats. This service request has been closed.,03/26/2025 05:00:59 PM,05 MANHATTAN,1008570024,MANHATTAN,988110,210146,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.743477984788896,-73.98607001057627,"(40.743477984788896, -73.98607001057627)"
64454676,03/24/2025 05:20:02 PM,03/24/2025 05:43:44 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10016,3 AVENUE,3 AVENUE,3 AVENUE,EAST   38 STREET,3 AVENUE,EAST   38 STREET,INTERSECTION,,,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,03/24/2025 05:43:47 PM,06 MANHATTAN,,MANHATTAN,990820,211884,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74824676081666,-73.97628845012895,"(40.74824676081666, -73.97628845012895)"
64454981,03/24/2025 05:09:00 PM,03/25/2025 08:00:04 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10025,218 WEST  104 STREET,WEST  104 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",03/25/2025 12:00:00 AM,07 MANHATTAN,1018750041,MANHATTAN,993278,230533,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.79943120771864,-73.96739231760297,"(40.79943120771864, -73.96739231760297)"
64453851,03/24/2025 04:45:44 PM,,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11210,3103 FOSTER AVENUE,FOSTER AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,03/24/2025 12:00:00 AM,17 BROOKLYN,3049640047,BROOKLYN,998848,171965,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63866877017848,-73.94740139848233,"(40.63866877017848, -73.94740139848233)"
64453597,03/24/2025 04:32:52 PM,03/25/2025 10:20:39 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10025,330 WEST   95 STREET,WEST   95 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",03/25/2025 12:00:00 AM,07 MANHATTAN,1012530041,MANHATTAN,991197,228948,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.79508269493676,-73.97491019376804,"(40.79508269493676, -73.97491019376804)"
64446084,03/24/2025 04:32:11 PM,03/24/2025 05:27:48 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11210,1478 EAST   28 STREET,EAST   28 STREET,AVENUE N,KINGS HIGHWAY,AVENUE N,KINGS HIGHWAY,ADDRESS,BROOKLYN,EAST   28 STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,03/24/2025 05:27:51 PM,14 BROOKLYN,3076810010,BROOKLYN,999059,163409,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.61518400259666,-73.9466599088422,"(40.61518400259666, -73.9466599088422)"
64448106,03/24/2025 04:28:47 PM,03/24/2025 04:30:54 PM,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,10016,43 EAST   28 STREET,EAST   28 STREET,MADISON AVENUE,PARK AVENUE SOUTH,MADISON AVENUE,PARK AVENUE SOUTH,ADDRESS,NEW YORK,EAST   28 STREET,,Closed,,N/A,03/24/2025 04:30:58 PM,05 MANHATTAN,1008580032,MANHATTAN,988360,210261,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.74379351840042,-73.9851677389341,"(40.74379351840042, -73.9851677389341)"
64449893,03/24/2025 04:24:47 PM,03/27/2025 03:13:50 PM,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,10027,503 WEST  133 STREET,WEST  133 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,03/27/2025 12:00:00 AM,09 MANHATTAN,1019870024,MANHATTAN,997055,237240,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81783539703247,-73.95373761025542,"(40.81783539703247, -73.95373761025542)"
64454665,03/24/2025 04:14:26 PM,03/24/2025 05:35:56 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11210,1354 NEW YORK AVENUE,NEW YORK AVENUE,NEWKIRK AVENUE,FOSTER AVENUE,NEWKIRK AVENUE,FOSTER AVENUE,ADDRESS,BROOKLYN,NEW YORK AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/24/2025 05:35:57 PM,17 BROOKLYN,3049640040,BROOKLYN,999375,172405,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63987559161802,-73.94550155914953,"(40.63987559161802, -73.94550155914953)"
